Date,Numbers of Stocks
1965-03-01,550.0
1965-03-02,590.0
1965-03-03,574.0
1965-03-04,490.0
1965-03-05,446.0
1965-03-08,626.0
1965-03-09,501.0
1965-03-10,532.0
1965-03-11,614.0
1965-03-12,640.0
1965-03-15,578.0
1965-03-16,536.0
1965-03-17,485.0
1965-03-18,457.0
1965-03-19,474.0
1965-03-22,538.0
1965-03-23,534.0
1965-03-24,579.0
1965-03-25,482.0
1965-03-26,278.0
1965-03-29,360.0
1965-03-30,574.0
1965-03-31,602.0
1965-04-01,551.0
1965-04-02,684.0
1965-04-05,575.0
1965-04-06,499.0
1965-04-07,557.0
1965-04-08,751.0
1965-04-09,742.0
1965-04-12,741.0
1965-04-13,605.0
1965-04-14,605.0
1965-04-15,570.0
1965-04-19,621.0
1965-04-20,580.0
1965-04-21,447.0
1965-04-22,667.0
1965-04-23,600.0
1965-04-26,546.0
1965-04-27,620.0
1965-04-28,475.0
1965-04-29,537.0
1965-04-30,504.0
1965-05-03,501.0
1965-05-04,606.0
1965-05-05,641.0
1965-05-06,583.0
1965-05-07,524.0
1965-05-10,553.0
1965-05-11,457.0
1965-05-12,649.0
1965-05-13,615.0
1965-05-14,543.0
1965-05-17,432.0
1965-05-18,523.0
1965-05-19,613.0
1965-05-20,337.0
1965-05-21,390.0
1965-05-24,303.0
1965-05-25,680.0
1965-05-26,379.0
1965-05-27,277.0
1965-05-28,692.0
1965-06-01,345.0
1965-06-02,196.0
1965-06-03,428.0
1965-06-04,588.0
1965-06-07,337.0
1965-06-08,215.0
1965-06-09,257.0
1965-06-10,351.0
1965-06-11,692.0
1965-06-14,161.0
1965-06-15,597.0
1965-06-16,908.0
1965-06-17,745.0
1965-06-18,355.0
1965-06-21,318.0
1965-06-22,569.0
1965-06-23,279.0
1965-06-24,116.0
1965-06-25,271.0
1965-06-28,104.0
1965-06-29,616.0
1965-06-30,1168.0
1965-07-01,779.0
1965-07-02,860.0
1965-07-06,546.0
1965-07-07,395.0
1965-07-08,741.0
1965-07-09,754.0
1965-07-12,578.0
1965-07-13,433.0
1965-07-14,629.0
1965-07-15,591.0
1965-07-16,501.0
1965-07-19,472.0
1965-07-20,226.0
1965-07-21,325.0
1965-07-22,454.0
1965-07-23,609.0
1965-07-26,543.0
1965-07-27,459.0
1965-07-28,563.0
1965-07-29,816.0
1965-07-30,802.0
1965-08-02,650.0
1965-08-03,570.0
1965-08-04,767.0
1965-08-05,575.0
1965-08-06,627.0
1965-08-09,550.0
1965-08-10,567.0
1965-08-11,684.0
1965-08-12,666.0
1965-08-13,699.0
1965-08-16,622.0
1965-08-17,556.0
1965-08-18,579.0
1965-08-19,402.0
1965-08-20,486.0
1965-08-23,498.0
1965-08-24,611.0
1965-08-25,575.0
1965-08-26,646.0
1965-08-27,664.0
1965-08-30,597.0
1965-08-31,563.0
1965-09-01,571.0
1965-09-02,767.0
1965-09-03,745.0
1965-09-07,659.0
1965-09-08,589.0
1965-09-09,651.0
1965-09-10,605.0
1965-09-13,645.0
1965-09-14,407.0
1965-09-15,668.0
1965-09-16,706.0
1965-09-17,522.0
1965-09-20,597.0
1965-09-21,517.0
1965-09-22,698.0
1965-09-23,362.0
1965-09-24,626.0
1965-09-27,641.0
1965-09-28,511.0
1965-09-29,383.0
1965-09-30,505.0
1965-10-01,532.0
1965-10-04,673.0
1965-10-05,723.0
1965-10-06,471.0
1965-10-07,656.0
1965-10-08,776.0
1965-10-11,756.0
1965-10-12,581.0
1965-10-13,571.0
1965-10-14,554.0
1965-10-15,626.0
1965-10-18,658.0
1965-10-19,555.0
1965-10-20,554.0
1965-10-21,630.0
1965-10-22,532.0
1965-10-25,395.0
1965-10-26,684.0
1965-10-27,649.0
1965-10-28,493.0
1965-10-29,658.0
1965-11-01,516.0
1965-11-03,606.0
1965-11-04,621.0
1965-11-05,575.0
1965-11-08,397.0
1965-11-09,516.0
1965-11-10,502.0
1965-11-11,587.0
1965-11-12,684.0
1965-11-15,640.0
1965-11-16,565.0
1965-11-17,504.0
1965-11-18,504.0
1965-11-19,599.0
1965-11-22,412.0
1965-11-23,621.0
1965-11-24,654.0
1965-11-26,699.0
1965-11-29,634.0
1965-11-30,522.0
1965-12-01,617.0
1965-12-02,500.0
1965-12-03,554.0
1965-12-06,240.0
1965-12-07,869.0
1965-12-08,626.0
1965-12-09,637.0
1965-12-10,656.0
1965-12-13,644.0
1965-12-14,620.0
1965-12-15,620.0
1965-12-16,672.0
1965-12-17,627.0
1965-12-20,391.0
1965-12-21,664.0
1965-12-22,501.0
