Date,Numbers of Stocks
1965-03-01,2750.0
1965-03-02,3480.0
1965-03-03,3220.0
1965-03-04,2400.0
1965-03-05,2760.0
1965-03-08,2640.0
1965-03-09,1990.0
1965-03-10,2470.0
1965-03-11,3370.0
1965-03-12,3380.0
1965-03-15,2820.0
1965-03-16,2540.0
1965-03-17,2010.0
1965-03-18,1790.0
1965-03-19,2110.0
1965-03-22,2470.0
1965-03-23,2240.0
1965-03-24,2940.0
1965-03-25,2010.0
1965-03-26,1060.0
1965-03-29,1400.0
1965-03-30,2350.0
1965-03-31,2260.0
1965-04-01,2480.0
1965-04-02,2950.0
1965-04-05,2230.0
1965-04-06,2080.0
1965-04-07,2160.0
1965-04-08,3970.0
1965-04-09,4510.0
1965-04-12,3700.0
1965-04-13,3510.0
1965-04-14,3530.0
1965-04-15,2970.0
1965-04-19,3090.0
1965-04-20,3120.0
1965-04-21,2160.0
1965-04-22,3600.0
1965-04-23,2900.0
1965-04-26,2340.0
1965-04-27,3340.0
1965-04-28,2110.0
1965-04-29,2620.0
1965-04-30,2240.0
1965-05-03,2110.0
1965-05-04,3080.0
1965-05-05,3380.0
1965-05-06,3580.0
1965-05-07,2600.0
1965-05-10,2540.0
1965-05-11,2200.0
1965-05-12,3860.0
1965-05-13,3520.0
1965-05-14,2640.0
1965-05-17,1400.0
1965-05-18,2570.0
1965-05-19,3300.0
1965-05-20,1540.0
1965-05-21,1350.0
1965-05-24,1080.0
1965-05-25,3170.0
1965-05-26,1360.0
1965-05-27,1440.0
1965-05-28,2730.0
1965-06-01,1060.0
1965-06-02,1340.0
1965-06-03,1840.0
1965-06-04,2540.0
1965-06-07,1350.0
1965-06-08,500.0
1965-06-09,1150.0
1965-06-10,1830.0
1965-06-11,3230.0
1965-06-14,510.0
1965-06-15,5370.0
1965-06-16,4370.0
1965-06-17,2670.0
1965-06-18,920.0
1965-06-21,750.0
1965-06-22,1560.0
1965-06-23,650.0
1965-06-24,200.0
1965-06-25,1070.0
1965-06-28,310.0
1965-06-29,6790.0
1965-06-30,6390.0
1965-07-01,2780.0
1965-07-02,3200.0
1965-07-06,1030.0
1965-07-07,1020.0
1965-07-08,3100.0
1965-07-09,3180.0
1965-07-12,1770.0
1965-07-13,1190.0
1965-07-14,2490.0
1965-07-15,1920.0
1965-07-16,1330.0
1965-07-19,1280.0
1965-07-20,540.0
1965-07-21,1150.0
1965-07-22,1320.0
1965-07-23,2330.0
1965-07-26,1980.0
1965-07-27,1460.0
1965-07-28,2700.0
1965-07-29,3050.0
1965-07-30,3450.0
1965-08-02,2310.0
1965-08-03,2470.0
1965-08-04,3080.0
1965-08-05,2250.0
1965-08-06,2440.0
1965-08-09,2250.0
1965-08-10,2520.0
1965-08-11,3120.0
1965-08-12,3000.0
1965-08-13,3620.0
1965-08-16,2500.0
1965-08-17,2260.0
1965-08-18,3120.0
1965-08-19,1470.0
1965-08-20,2100.0
1965-08-23,2390.0
1965-08-24,2840.0
1965-08-25,3950.0
1965-08-26,3570.0
1965-08-27,3070.0
1965-08-30,2490.0
1965-08-31,2950.0
1965-09-01,3000.0
1965-09-02,4700.0
1965-09-03,3860.0
1965-09-07,3170.0
1965-09-08,3140.0
1965-09-09,4460.0
1965-09-10,3860.0
1965-09-13,4440.0
1965-09-14,2020.0
1965-09-15,4220.0
1965-09-16,4880.0
1965-09-17,3450.0
1965-09-20,4070.0
1965-09-21,3430.0
1965-09-22,6130.0
1965-09-23,3070.0
1965-09-24,5630.0
1965-09-27,4180.0
1965-09-28,4330.0
1965-09-29,3870.0
1965-09-30,3510.0
1965-10-01,3780.0
1965-10-04,3490.0
1965-10-05,4570.0
1965-10-06,2920.0
1965-10-07,3590.0
1965-10-08,5730.0
1965-10-11,6940.0
1965-10-12,5700.0
1965-10-13,4330.0
1965-10-14,3970.0
1965-10-15,4220.0
1965-10-18,5150.0
1965-10-19,4070.0
1965-10-20,3930.0
1965-10-21,5280.0
1965-10-22,3870.0
1965-10-25,1780.0
1965-10-26,4450.0
1965-10-27,4400.0
1965-10-28,3060.0
1965-10-29,4210.0
1965-11-01,2500.0
1965-11-03,3650.0
1965-11-04,4860.0
1965-11-05,3120.0
1965-11-08,2660.0
1965-11-09,2980.0
1965-11-10,2040.0
1965-11-11,3370.0
1965-11-12,4690.0
1965-11-15,4900.0
1965-11-16,4640.0
1965-11-17,3580.0
1965-11-18,2970.0
1965-11-19,3550.0
1965-11-22,2280.0
1965-11-23,4270.0
1965-11-24,4450.0
1965-11-26,4260.0
1965-11-29,4770.0
1965-11-30,4860.0
1965-12-01,6020.0
1965-12-02,4010.0
1965-12-03,3960.0
1965-12-06,2060.0
1965-12-07,7220.0
1965-12-08,4950.0
1965-12-09,5500.0
1965-12-10,4900.0
1965-12-13,5030.0
1965-12-14,5700.0
1965-12-15,5150.0
1965-12-16,6090.0
1965-12-17,4500.0
1965-12-20,2100.0
1965-12-21,5080.0
1965-12-22,3950.0
1965-12-23,2580.0
1965-12-27,1680.0
1965-12-28,3090.0
1965-12-29,4990.0
1965-12-30,4280.0
1965-12-31,3700.0
1966-01-03,3180.0
1966-01-04,4080.0
1966-01-05,5850.0
1966-01-06,4250.0
1966-01-07,3730.0
1966-01-10,4850.0
1966-01-11,5330.0
1966-01-12,4220.0
1966-01-13,5210.0
1966-01-14,4840.0
1966-01-17,5230.0
1966-01-18,5300.0
1966-01-19,4140.0
1966-01-20,4060.0
1966-01-21,4570.0
1966-01-24,4860.0
1966-01-25,5200.0
1966-01-26,4890.0
1966-01-27,4700.0
1966-01-28,3750.0
1966-01-31,2820.0
1966-02-01,1090.0
1966-02-02,5560.0
1966-02-03,3580.0
1966-02-04,4780.0
1966-02-07,4850.0
1966-02-08,4880.0
1966-02-09,7250.0
1966-02-10,4450.0
1966-02-11,4710.0
1966-02-14,4310.0
1966-02-15,3010.0
1966-02-16,4700.0
1966-02-17,3360.0
1966-02-18,3560.0
1966-02-21,3030.0
1966-02-23,3050.0
1966-02-24,2850.0
1966-02-25,5380.0
1966-02-28,6130.0
1966-03-01,1670.0
1966-03-02,2420.0
1966-03-03,7000.0
1966-03-04,3030.0
1966-03-07,1610.0
1966-03-08,5140.0
1966-03-09,5990.0
1966-03-10,4120.0
1966-03-11,3020.0
1966-03-14,970.0
1966-03-15,1490.0
1966-03-16,4570.0
1966-03-17,3020.0
1966-03-18,4330.0
1966-03-21,5490.0
1966-03-22,4740.0
1966-03-23,2750.0
1966-03-24,3940.0
1966-03-25,4280.0
1966-03-28,5160.0
1966-03-29,2320.0
1966-03-30,1430.0
1966-03-31,4300.0
1966-04-01,6640.0
1966-04-04,6990.0
1966-04-05,6460.0
1966-04-06,5080.0
1966-04-07,5990.0
1966-04-11,4850.0
1966-04-12,4970.0
1966-04-13,6050.0
1966-04-14,6830.0
1966-04-15,5140.0
1966-04-18,3350.0
1966-04-19,4960.0
1966-04-20,6330.0
1966-04-21,4760.0
1966-04-22,3300.0
1966-04-25,2930.0
1966-04-26,3030.0
1966-04-27,2270.0
1966-04-28,2260.0
1966-04-29,3300.0
1966-05-02,2920.0
1966-05-03,1410.0
1966-05-04,2890.0
1966-05-05,880.0
1966-05-06,6310.0
1966-05-09,1210.0
1966-05-10,6680.0
1966-05-11,3180.0
1966-05-12,830.0
1966-05-13,1240.0
1966-05-16,820.0
1966-05-17,1350.0
1966-05-18,7750.0
1966-05-19,2320.0
1966-05-20,4420.0
1966-05-23,5050.0
1966-05-24,4590.0
1966-05-25,3650.0
1966-05-26,2460.0
1966-05-27,2990.0
1966-05-31,930.0
1966-06-01,2780.0
1966-06-02,1920.0
1966-06-03,2280.0
1966-06-06,850.0
1966-06-07,860.0
1966-06-08,2640.0
1966-06-09,4050.0
1966-06-10,6590.0
1966-06-13,4400.0
1966-06-14,4580.0
1966-06-15,3380.0
1966-06-16,3660.0
1966-06-17,2920.0
1966-06-20,2750.0
1966-06-21,4310.0
1966-06-22,4620.0
1966-06-23,2370.0
1966-06-24,2720.0
1966-06-27,1220.0
1966-06-28,2420.0
1966-06-29,770.0
1966-06-30,3160.0
1966-07-01,3780.0
1966-07-05,1990.0
1966-07-06,5360.0
1966-07-07,3580.0
1966-07-08,3590.0
1966-07-11,2970.0
1966-07-12,1700.0
1966-07-13,1660.0
1966-07-14,3700.0
1966-07-15,3670.0
1966-07-18,2090.0
1966-07-19,1280.0
1966-07-20,1000.0
1966-07-21,2680.0
1966-07-22,3290.0
1966-07-25,440.0
1966-07-26,2940.0
1966-07-27,3810.0
1966-07-28,1860.0
1966-07-29,1960.0
1966-08-01,380.0
1966-08-02,2730.0
1966-08-03,4780.0
1966-08-04,4750.0
1966-08-05,2620.0
1966-08-08,2110.0
1966-08-09,3510.0
1966-08-10,1620.0
1966-08-11,3050.0
1966-08-12,3630.0
1966-08-15,2240.0
1966-08-16,740.0
1966-08-17,1990.0
1966-08-18,710.0
1966-08-19,1360.0
1966-08-22,1150.0
1966-08-23,5050.0
1966-08-24,5280.0
1966-08-25,760.0
1966-08-26,290.0
1966-08-29,430.0
1966-08-30,8850.0
1966-08-31,5420.0
1966-09-01,2770.0
1966-09-02,1800.0
1966-09-06,1320.0
1966-09-07,870.0
1966-09-08,3280.0
1966-09-09,3220.0
1966-09-12,5860.0
1966-09-13,3780.0
1966-09-14,4070.0
1966-09-15,3330.0
1966-09-16,2290.0
1966-09-19,1670.0
1966-09-20,1440.0
1966-09-21,330.0
1966-09-22,3360.0
1966-09-23,1390.0
1966-09-26,2430.0
1966-09-27,2960.0
1966-09-28,720.0
1966-09-29,760.0
1966-09-30,3430.0
1966-10-03,380.0
1966-10-04,3670.0
1966-10-05,1150.0
1966-10-06,840.0
1966-10-07,1140.0
1966-10-10,7020.0
1966-10-11,3730.0
1966-10-12,6010.0
1966-10-13,3270.0
1966-10-14,2690.0
1966-10-17,3710.0
1966-10-18,5710.0
1966-10-19,1860.0
1966-10-20,2110.0
1966-10-21,2420.0
1966-10-24,2450.0
1966-10-25,3240.0
1966-10-26,4890.0
1966-10-27,4290.0
1966-10-28,3330.0
1966-10-31,2810.0
1966-11-01,4540.0
1966-11-02,3100.0
1966-11-03,2410.0
1966-11-04,4400.0
1966-11-07,3100.0
1966-11-09,5710.0
1966-11-10,5390.0
1966-11-11,3600.0
1966-11-14,2040.0
1966-11-15,4310.0
1966-11-16,7760.0
1966-11-17,1800.0
1966-11-18,2300.0
1966-11-21,760.0
1966-11-22,2580.0
1966-11-23,4870.0
1966-11-25,5230.0
1966-11-28,3670.0
1966-11-29,2720.0
1966-11-30,4040.0
1966-12-01,3280.0
1966-12-02,2710.0
1966-12-05,3330.0
1966-12-06,4620.0
1966-12-07,5900.0
1966-12-08,4680.0
1966-12-09,4520.0
1966-12-12,6570.0
1966-12-13,3870.0
1966-12-14,4260.0
1966-12-15,1870.0
1966-12-16,3460.0
1966-12-19,3020.0
1966-12-20,2050.0
1966-12-21,4980.0
1966-12-22,5350.0
1966-12-23,3370.0
1966-12-27,1930.0
1966-12-28,1460.0
1966-12-29,1990.0
1966-12-30,3430.0
1967-01-03,3250.0
1967-01-04,3400.0
1967-01-05,5860.0
1967-01-06,5270.0
1967-01-09,6860.0
1967-01-10,3290.0
1967-01-11,10110.0
1967-01-12,7770.0
1967-01-13,6980.0
1967-01-16,5000.0
1967-01-17,9020.0
1967-01-18,6140.0
1967-01-19,5330.0
1967-01-20,6600.0
1967-01-23,5870.0
1967-01-24,6420.0
1967-01-25,3120.0
1967-01-26,6260.0
1967-01-27,6220.0
1967-01-30,7040.0
1967-01-31,5740.0
1967-02-01,4470.0
1967-02-02,6340.0
1967-02-03,8420.0
1967-02-06,5120.0
1967-02-07,2450.0
1967-02-08,7820.0
1967-02-09,3360.0
1967-02-10,5640.0
1967-02-13,4040.0
1967-02-14,6230.0
1967-02-15,5130.0
1967-02-16,3010.0
1967-02-17,3900.0
1967-02-20,3460.0
1967-02-21,4920.0
1967-02-23,4040.0
1967-02-24,5290.0
1967-02-27,2030.0
1967-02-28,6120.0
1967-03-01,8400.0
1967-03-02,7350.0
1967-03-03,6040.0
1967-03-06,5390.0
1967-03-07,5730.0
1967-03-08,5780.0
1967-03-09,6240.0
1967-03-10,8730.0
1967-03-13,3370.0
1967-03-14,4800.0
1967-03-15,7390.0
1967-03-16,7360.0
1967-03-17,5020.0
1967-03-20,4390.0
1967-03-21,3700.0
1967-03-22,5170.0
1967-03-23,5970.0
1967-03-27,4090.0
1967-03-28,4600.0
1967-03-29,3960.0
1967-03-30,4110.0
1967-03-31,2740.0
1967-04-03,1700.0
1967-04-04,4380.0
1967-04-05,5710.0
1967-04-06,4630.0
1967-04-07,2350.0
1967-04-10,950.0
1967-04-11,5740.0
1967-04-12,3310.0
1967-04-13,4960.0
1967-04-14,6400.0
1967-04-17,5650.0
1967-04-18,7400.0
1967-04-19,5170.0
1967-04-20,5250.0
1967-04-21,5580.0
1967-04-24,5010.0
1967-04-25,6130.0
1967-04-26,4320.0
1967-04-27,7250.0
1967-04-28,5900.0
1967-05-01,4510.0
1967-05-02,6150.0
1967-05-03,6600.0
1967-05-04,6960.0
1967-05-05,5560.0
1967-05-08,5490.0
1967-05-09,2280.0
1967-05-10,5670.0
1967-05-11,7020.0
1967-05-12,4490.0
1967-05-15,2700.0
1967-05-16,7040.0
1967-05-17,4310.0
1967-05-18,5510.0
1967-05-19,3870.0
1967-05-22,4240.0
1967-05-23,3950.0
1967-05-24,1920.0
1967-05-25,6190.0
1967-05-26,3230.0
1967-05-29,2220.0
1967-05-31,390.0
1967-06-01,7000.0
1967-06-02,3160.0
1967-06-05,600.0
1967-06-06,8230.0
1967-06-07,7670.0
1967-06-08,5610.0
1967-06-09,5490.0
1967-06-12,7020.0
1967-06-13,7400.0
1967-06-14,5040.0
1967-06-15,7050.0
1967-06-16,5640.0
1967-06-19,4730.0
1967-06-20,4910.0
1967-06-21,4380.0
1967-06-22,3860.0
1967-06-23,4580.0
1967-06-26,3090.0
1967-06-27,3300.0
1967-06-28,5930.0
1967-06-29,3120.0
1967-06-30,4040.0
1967-07-03,3590.0
1967-07-05,5850.0
1967-07-06,5080.0
1967-07-07,7990.0
1967-07-10,8110.0
1967-07-11,6740.0
1967-07-12,5640.0
1967-07-13,6040.0
1967-07-14,6770.0
1967-07-17,5240.0
1967-07-18,8010.0
1967-07-19,6290.0
1967-07-20,5610.0
1967-07-21,5410.0
1967-07-24,3110.0
1967-07-25,5480.0
1967-07-26,7250.0
1967-07-27,7470.0
1967-07-28,6400.0
1967-07-31,5600.0
1967-08-01,7490.0
1967-08-02,7080.0
1967-08-03,5910.0
1967-08-04,6360.0
1967-08-07,4330.0
1967-08-08,4370.0
1967-08-09,5600.0
1967-08-10,3600.0
1967-08-11,2670.0
1967-08-14,2290.0
1967-08-15,4430.0
1967-08-16,3030.0
1967-08-17,4980.0
1967-08-18,4010.0
1967-08-21,3020.0
1967-08-22,2550.0
1967-08-23,3710.0
1967-08-24,2320.0
1967-08-25,2130.0
1967-08-28,3320.0
1967-08-29,3440.0
1967-08-30,3900.0
1967-08-31,5940.0
1967-09-01,4670.0
1967-09-05,5060.0
1967-09-06,4380.0
1967-09-07,3870.0
1967-09-08,4940.0
1967-09-11,4260.0
1967-09-12,6330.0
1967-09-13,8130.0
1967-09-14,5530.0
1967-09-15,5100.0
1967-09-18,6380.0
1967-09-19,3260.0
1967-09-20,6270.0
1967-09-21,6830.0
1967-09-22,6530.0
1967-09-25,6000.0
1967-09-26,2760.0
1967-09-27,4460.0
1967-09-28,5040.0
1967-09-29,4920.0
1967-10-02,3820.0
1967-10-03,5840.0
1967-10-04,5600.0
1967-10-05,4480.0
1967-10-06,5010.0
1967-10-09,5660.0
1967-10-10,3230.0
1967-10-11,3690.0
1967-10-12,2340.0
1967-10-13,4340.0
1967-10-16,2350.0
1967-10-17,4710.0
1967-10-18,5250.0
1967-10-19,4830.0
1967-10-20,3390.0
1967-10-23,3170.0
1967-10-24,3090.0
1967-10-25,5040.0
1967-10-26,5820.0
1967-10-27,4320.0
1967-10-30,4240.0
1967-10-31,2590.0
1967-11-01,2480.0
1967-11-02,3260.0
1967-11-03,3130.0
1967-11-06,3920.0
1967-11-08,4250.0
1967-11-09,4770.0
1967-11-10,5430.0
1967-11-13,3100.0
1967-11-14,2080.0
