Date,Numbers of Stocks
1965-03-01,2240.0
1965-03-02,1710.0
1965-03-03,2150.0
1965-03-04,2790.0
1965-03-05,2620.0
1965-03-08,1740.0
1965-03-09,2540.0
1965-03-10,1940.0
1965-03-11,1560.0
1965-03-12,2300.0
1965-03-15,2420.0
1965-03-16,2380.0
1965-03-17,2350.0
1965-03-18,2380.0
1965-03-19,2160.0
1965-03-22,1890.0
1965-03-23,1850.0
1965-03-24,1730.0
1965-03-25,2500.0
1965-03-26,3330.0
1965-03-29,2540.0
1965-03-30,1220.0
1965-03-31,1500.0
1965-04-01,1660.0
1965-04-02,1530.0
1965-04-05,1970.0
1965-04-06,1970.0
1965-04-07,1370.0
1965-04-08,1110.0
1965-04-09,1410.0
1965-04-12,1560.0
1965-04-13,2410.0
1965-04-14,2120.0
1965-04-15,2050.0
1965-04-19,1790.0
1965-04-20,2550.0
1965-04-21,2690.0
1965-04-22,1660.0
1965-04-23,2060.0
1965-04-26,2120.0
1965-04-27,2310.0
1965-04-28,2630.0
1965-04-29,2240.0
1965-04-30,2160.0
1965-05-03,2490.0
1965-05-04,2000.0
1965-05-05,2330.0
1965-05-06,1810.0
1965-05-07,2440.0
1965-05-10,2410.0
1965-05-11,2210.0
1965-05-12,1840.0
1965-05-13,1940.0
1965-05-14,2470.0
1965-05-17,2750.0
1965-05-18,1800.0
1965-05-19,1750.0
1965-05-20,3650.0
1965-05-21,2590.0
1965-05-24,3280.0
1965-05-25,1230.0
1965-05-26,2990.0
1965-05-27,3490.0
1965-05-28,1020.0
1965-06-01,3160.0
1965-06-02,4760.0
1965-06-03,3050.0
1965-06-04,1390.0
1965-06-07,2860.0
1965-06-08,3800.0
1965-06-09,5270.0
1965-06-10,4750.0
1965-06-11,1530.0
1965-06-14,5000.0
1965-06-15,2250.0
1965-06-16,1300.0
1965-06-17,1770.0
1965-06-18,2910.0
1965-06-21,1920.0
1965-06-22,1050.0
1965-06-23,2440.0
1965-06-24,5290.0
1965-06-25,4120.0
1965-06-28,7090.0
1965-06-29,2360.0
1965-06-30,410.0
1965-07-01,1110.0
1965-07-02,690.0
1965-07-06,1850.0
1965-07-07,1600.0
1965-07-08,730.0
1965-07-09,1150.0
1965-07-12,1400.0
1965-07-13,1650.0
1965-07-14,1150.0
1965-07-15,1920.0
1965-07-16,1530.0
1965-07-19,1440.0
1965-07-20,3720.0
1965-07-21,2610.0
1965-07-22,1480.0
1965-07-23,810.0
1965-07-26,1310.0
1965-07-27,2300.0
1965-07-28,1400.0
1965-07-29,1050.0
1965-07-30,1200.0
1965-08-02,1390.0
1965-08-03,1440.0
1965-08-04,1160.0
1965-08-05,1710.0
1965-08-06,1190.0
1965-08-09,1760.0
1965-08-10,1490.0
1965-08-11,1380.0
1965-08-12,1580.0
1965-08-13,1270.0
1965-08-16,1980.0
1965-08-17,1800.0
1965-08-18,2090.0
1965-08-19,2970.0
1965-08-20,1590.0
1965-08-23,1550.0
1965-08-24,1310.0
1965-08-25,1770.0
1965-08-26,1840.0
1965-08-27,1920.0
1965-08-30,1340.0
1965-08-31,1660.0
1965-09-01,2070.0
1965-09-02,1250.0
1965-09-03,1400.0
1965-09-07,1940.0
1965-09-08,2190.0
1965-09-09,2230.0
1965-09-10,2120.0
1965-09-13,1950.0
1965-09-14,5130.0
1965-09-15,1230.0
1965-09-16,1860.0
1965-09-17,2440.0
1965-09-20,2240.0
1965-09-21,3280.0
1965-09-22,1560.0
1965-09-23,5760.0
1965-09-24,1520.0
1965-09-27,1720.0
1965-09-28,3690.0
1965-09-29,5800.0
1965-09-30,4200.0
1965-10-01,2800.0
1965-10-04,1570.0
1965-10-05,1670.0
1965-10-06,2500.0
1965-10-07,2360.0
1965-10-08,1330.0
1965-10-11,1930.0
1965-10-12,3080.0
1965-10-13,4250.0
1965-10-14,3810.0
1965-10-15,2360.0
1965-10-18,2380.0
1965-10-19,3740.0
1965-10-20,3410.0
1965-10-21,3100.0
1965-10-22,3830.0
1965-10-25,4640.0
1965-10-26,1430.0
1965-10-27,2140.0
1965-10-28,3490.0
1965-10-29,2330.0
1965-11-01,3060.0
1965-11-03,2810.0
1965-11-04,2510.0
1965-11-05,3190.0
1965-11-08,3640.0
1965-11-09,3010.0
1965-11-10,2250.0
1965-11-11,1390.0
1965-11-12,2300.0
1965-11-15,2620.0
1965-11-16,3020.0
1965-11-17,4610.0
1965-11-18,3180.0
1965-11-19,2560.0
1965-11-22,3410.0
1965-11-23,2170.0
1965-11-24,2480.0
1965-11-26,2070.0
1965-11-29,3340.0
1965-11-30,3130.0
1965-12-01,3420.0
1965-12-02,4080.0
1965-12-03,3250.0
1965-12-06,8460.0
1965-12-07,1470.0
1965-12-08,3900.0
1965-12-09,2370.0
1965-12-10,2900.0
1965-12-13,2740.0
1965-12-14,3510.0
1965-12-15,3600.0
1965-12-16,2890.0
1965-12-17,3380.0
1965-12-20,4420.0
1965-12-21,2360.0
1965-12-22,4760.0
1965-12-23,3510.0
1965-12-27,3510.0
1965-12-28,3510.0
1965-12-29,1840.0
1965-12-30,1900.0
1965-12-31,2730.0
1966-01-03,2190.0
1966-01-04,2660.0
1966-01-05,2830.0
1966-01-06,2920.0
1966-01-07,3090.0
1966-01-10,2090.0
1966-01-11,2810.0
1966-01-12,3240.0
1966-01-13,2800.0
1966-01-14,3360.0
1966-01-17,3010.0
1966-01-18,3500.0
1966-01-19,4710.0
1966-01-20,3750.0
1966-01-21,3580.0
1966-01-24,3260.0
1966-01-25,3130.0
1966-01-26,4200.0
1966-01-27,3270.0
1966-01-28,4070.0
1966-01-31,4030.0
1966-02-01,7200.0
1966-02-02,1860.0
1966-02-03,3550.0
1966-02-04,2060.0
1966-02-07,2170.0
1966-02-08,4800.0
1966-02-09,1890.0
1966-02-10,4330.0
1966-02-11,2540.0
1966-02-14,3350.0
1966-02-15,4870.0
1966-02-16,3700.0
1966-02-17,5060.0
1966-02-18,4070.0
1966-02-21,4490.0
1966-02-23,4210.0
1966-02-24,4090.0
1966-02-25,2050.0
1966-02-28,3010.0
1966-03-01,8550.0
1966-03-02,7020.0
1966-03-03,2230.0
1966-03-04,5230.0
1966-03-07,7130.0
1966-03-08,4040.0
1966-03-09,1190.0
1966-03-10,5030.0
1966-03-11,3100.0
1966-03-14,5780.0
1966-03-15,7100.0
1966-03-16,1870.0
1966-03-17,1740.0
1966-03-18,1300.0
1966-03-21,1180.0
1966-03-22,3320.0
1966-03-23,2940.0
1966-03-24,2530.0
1966-03-25,2150.0
1966-03-28,2750.0
1966-03-29,5260.0
1966-03-30,5890.0
1966-03-31,1630.0
1966-04-01,1910.0
1966-04-04,1780.0
1966-04-05,3130.0
1966-04-06,3160.0
1966-04-07,2780.0
1966-04-11,3470.0
