Date,Open,High,Low,Close,Volume,Adjusted Close
1962-01-02,3.88,3.88,3.88,3.88,0.0,3.88
1962-01-03,3.87,3.87,3.87,3.87,0.0,3.87
1962-01-04,3.86,3.86,3.86,3.86,0.0,3.86
1962-01-05,3.89,3.89,3.89,3.89,0.0,3.89
1962-01-08,3.91,3.91,3.91,3.91,0.0,3.91
1962-01-09,3.93,3.93,3.93,3.93,0.0,3.93
1962-01-10,3.94,3.94,3.94,3.94,0.0,3.94
1962-01-11,3.94,3.94,3.94,3.94,0.0,3.94
1962-01-12,3.95,3.95,3.95,3.95,0.0,3.95
1962-01-15,3.96,3.96,3.96,3.96,0.0,3.96
1962-01-16,3.98,3.98,3.98,3.98,0.0,3.98
1962-01-17,3.97,3.97,3.97,3.97,0.0,3.97
1962-01-18,3.96,3.96,3.96,3.96,0.0,3.96
1962-01-19,3.95,3.95,3.95,3.95,0.0,3.95
1962-01-22,3.93,3.93,3.93,3.93,0.0,3.93
1962-01-23,3.94,3.94,3.94,3.94,0.0,3.94
1962-01-24,3.93,3.93,3.93,3.93,0.0,3.93
1962-01-25,3.94,3.94,3.94,3.94,0.0,3.94
1962-01-26,3.97,3.97,3.97,3.97,0.0,3.97
1962-01-29,3.98,3.98,3.98,3.98,0.0,3.98
1962-01-30,3.98,3.98,3.98,3.98,0.0,3.98
1962-01-31,3.99,3.99,3.99,3.99,0.0,3.99
1962-02-01,4.0,4.0,4.0,4.0,0.0,4.0
1962-02-02,3.97,3.97,3.97,3.97,0.0,3.97
1962-02-05,3.96,3.96,3.96,3.96,0.0,3.96
1962-02-06,3.96,3.96,3.96,3.96,0.0,3.96
1962-02-07,3.95,3.95,3.95,3.95,0.0,3.95
1962-02-08,3.93,3.93,3.93,3.93,0.0,3.93
1962-02-09,3.91,3.91,3.91,3.91,0.0,3.91
1962-02-13,3.91,3.91,3.91,3.91,0.0,3.91
1962-02-14,3.9,3.9,3.9,3.9,0.0,3.9
1962-02-15,3.9,3.9,3.9,3.9,0.0,3.9
1962-02-16,3.88,3.88,3.88,3.88,0.0,3.88
1962-02-19,3.86,3.86,3.86,3.86,0.0,3.86
1962-02-20,3.88,3.88,3.88,3.88,0.0,3.88
1962-02-21,3.86,3.86,3.86,3.86,0.0,3.86
1962-02-23,3.83,3.83,3.83,3.83,0.0,3.83
1962-02-26,3.8,3.8,3.8,3.8,0.0,3.8
1962-02-27,3.8,3.8,3.8,3.8,0.0,3.8
1962-02-28,3.77,3.77,3.77,3.77,0.0,3.77
1962-03-01,3.71,3.71,3.71,3.71,0.0,3.71
1962-03-02,3.72,3.72,3.72,3.72,0.0,3.72
1962-03-05,3.74,3.74,3.74,3.74,0.0,3.74
1962-03-06,3.74,3.74,3.74,3.74,0.0,3.74
1962-03-07,3.74,3.74,3.74,3.74,0.0,3.74
1962-03-08,3.72,3.72,3.72,3.72,0.0,3.72
1962-03-09,3.71,3.71,3.71,3.71,0.0,3.71
1962-03-12,3.73,3.73,3.73,3.73,0.0,3.73
1962-03-13,3.7,3.7,3.7,3.7,0.0,3.7
1962-03-14,3.72,3.72,3.72,3.72,0.0,3.72
1962-03-15,3.73,3.73,3.73,3.73,0.0,3.73
1962-03-16,3.72,3.72,3.72,3.72,0.0,3.72
1962-03-19,3.71,3.71,3.71,3.71,0.0,3.71
1962-03-20,3.67,3.67,3.67,3.67,0.0,3.67
1962-03-21,3.61,3.61,3.61,3.61,0.0,3.61
1962-03-22,3.58,3.58,3.58,3.58,0.0,3.58
1962-03-23,3.62,3.62,3.62,3.62,0.0,3.62
1962-03-26,3.65,3.65,3.65,3.65,0.0,3.65
1962-03-27,3.65,3.65,3.65,3.65,0.0,3.65
1962-03-28,3.64,3.64,3.64,3.64,0.0,3.64
1962-03-29,3.64,3.64,3.64,3.64,0.0,3.64
1962-03-30,3.61,3.61,3.61,3.61,0.0,3.61
1962-04-02,3.58,3.58,3.58,3.58,0.0,3.58
1962-04-03,3.55,3.55,3.55,3.55,0.0,3.55
1962-04-04,3.51,3.51,3.51,3.51,0.0,3.51
1962-04-05,3.56,3.56,3.56,3.56,0.0,3.56
1962-04-06,3.55,3.55,3.55,3.55,0.0,3.55
1962-04-09,3.57,3.57,3.57,3.57,0.0,3.57
1962-04-10,3.57,3.57,3.57,3.57,0.0,3.57
1962-04-11,3.61,3.61,3.61,3.61,0.0,3.61
1962-04-12,3.61,3.61,3.61,3.61,0.0,3.61
1962-04-13,3.6,3.6,3.6,3.6,0.0,3.6
1962-04-16,3.6,3.6,3.6,3.6,0.0,3.6
1962-04-17,3.6,3.6,3.6,3.6,0.0,3.6
1962-04-18,3.6,3.6,3.6,3.6,0.0,3.6
1962-04-19,3.6,3.6,3.6,3.6,0.0,3.6
1962-04-23,3.63,3.63,3.63,3.63,0.0,3.63
1962-04-24,3.65,3.65,3.65,3.65,0.0,3.65
1962-04-25,3.66,3.66,3.66,3.66,0.0,3.66
1962-04-26,3.66,3.66,3.66,3.66,0.0,3.66
1962-04-27,3.64,3.64,3.64,3.64,0.0,3.64
1962-04-30,3.64,3.64,3.64,3.64,0.0,3.64
1962-05-01,3.63,3.63,3.63,3.63,0.0,3.63
1962-05-02,3.64,3.64,3.64,3.64,0.0,3.64
1962-05-03,3.64,3.64,3.64,3.64,0.0,3.64
1962-05-04,3.64,3.64,3.64,3.64,0.0,3.64
1962-05-07,3.64,3.64,3.64,3.64,0.0,3.64
1962-05-08,3.62,3.62,3.62,3.62,0.0,3.62
1962-05-09,3.6,3.6,3.6,3.6,0.0,3.6
1962-05-10,3.61,3.61,3.61,3.61,0.0,3.61
1962-05-11,3.61,3.61,3.61,3.61,0.0,3.61
1962-05-14,3.63,3.63,3.63,3.63,0.0,3.63
1962-05-15,3.67,3.67,3.67,3.67,0.0,3.67
1962-05-16,3.67,3.67,3.67,3.67,0.0,3.67
1962-05-17,3.67,3.67,3.67,3.67,0.0,3.67
1962-05-18,3.72,3.72,3.72,3.72,0.0,3.72
1962-05-21,3.74,3.74,3.74,3.74,0.0,3.74
1962-05-22,3.71,3.71,3.71,3.71,0.0,3.71
1962-05-23,3.69,3.69,3.69,3.69,0.0,3.69
1962-05-24,3.68,3.68,3.68,3.68,0.0,3.68
1962-05-25,3.66,3.66,3.66,3.66,0.0,3.66
1962-05-28,3.65,3.65,3.65,3.65,0.0,3.65
1962-05-29,3.66,3.66,3.66,3.66,0.0,3.66
1962-05-31,3.66,3.66,3.66,3.66,0.0,3.66
1962-06-01,3.64,3.64,3.64,3.64,0.0,3.64
1962-06-04,3.63,3.63,3.63,3.63,0.0,3.63
1962-06-05,3.64,3.64,3.64,3.64,0.0,3.64
1962-06-06,3.62,3.62,3.62,3.62,0.0,3.62
1962-06-07,3.6,3.6,3.6,3.6,0.0,3.6
1962-06-08,3.6,3.6,3.6,3.6,0.0,3.6
1962-06-11,3.59,3.59,3.59,3.59,0.0,3.59
1962-06-12,3.57,3.57,3.57,3.57,0.0,3.57
1962-06-13,3.57,3.57,3.57,3.57,0.0,3.57
1962-06-14,3.6,3.6,3.6,3.6,0.0,3.6
1962-06-15,3.6,3.6,3.6,3.6,0.0,3.6
1962-06-18,3.61,3.61,3.61,3.61,0.0,3.61
1962-06-19,3.64,3.64,3.64,3.64,0.0,3.64
1962-06-20,3.63,3.63,3.63,3.63,0.0,3.63
1962-06-21,3.61,3.61,3.61,3.61,0.0,3.61
1962-06-22,3.61,3.61,3.61,3.61,0.0,3.61
1962-06-25,3.68,3.68,3.68,3.68,0.0,3.68
1962-06-26,3.71,3.71,3.71,3.71,0.0,3.71
1962-06-27,3.68,3.68,3.68,3.68,0.0,3.68
1962-06-28,3.76,3.76,3.76,3.76,0.0,3.76
1962-06-29,3.76,3.76,3.76,3.76,0.0,3.76
