Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,29.030001,29.440001,28.83,29.32,4737000,29.32
2016-06-16,28.57,28.66,27.940001,28.530001,8226700,28.530001
2016-06-15,28.969999,29.629999,28.780001,29.059999,6922100,29.059999
2016-06-14,29.01,29.549999,28.66,29.15,4707300,29.15
2016-06-13,29.190001,29.809999,29.040001,29.27,5229000,29.27
2016-06-10,29.879999,30.18,29.50,29.50,5993300,29.50
2016-06-09,30.200001,30.58,30.18,30.450001,5247600,30.450001
2016-06-08,30.959999,31.27,30.49,30.870001,10671800,30.870001
2016-06-07,30.02,30.77,29.959999,30.639999,12598500,30.639999
2016-06-06,28.24,29.91,28.16,29.889999,12773700,29.889999
2016-06-03,27.73,28.09,27.469999,27.889999,3828200,27.889999
2016-06-02,27.68,27.75,27.24,27.639999,8540300,27.639999
2016-06-01,27.639999,27.969999,27.200001,27.84,8369300,27.84
2016-05-31,28.16,28.65,27.90,28.110001,4381600,28.110001
2016-05-27,27.99,28.190001,27.75,28.129999,2797600,28.129999
2016-05-26,28.280001,28.709999,28.00,28.01,5779600,28.01
2016-05-25,27.360001,28.26,27.360001,28.23,5660200,28.23
2016-05-24,27.25,27.280001,26.84,27.16,3133400,27.16
2016-05-23,26.950001,27.27,26.790001,27.09,2932700,27.09
2016-05-20,26.879999,27.309999,26.73,27.200001,5165800,27.200001
2016-05-19,26.67,26.91,26.24,26.75,6457300,26.75
2016-05-18,27.610001,27.860001,26.75,26.950001,7873200,26.950001
2016-05-17,27.35,28.08,27.309999,27.809999,4640100,27.809999
2016-05-16,26.959999,27.610001,26.959999,27.360001,4660100,27.360001
2016-05-13,27.10,27.459999,26.59,26.59,6053000,26.59
2016-05-12,27.799999,27.860001,26.99,27.32,4206500,27.32
2016-05-11,27.16,27.75,26.860001,27.280001,3939000,27.280001
2016-05-10,26.809999,27.309999,26.799999,27.24,4359100,27.24
2016-05-09,27.42,27.530001,26.43,26.66,4969200,26.66
2016-05-06,27.50,28.209999,27.26,27.82,4612700,27.82
2016-05-05,28.379999,28.860001,27.309999,27.559999,6331200,27.559999
2016-05-04,28.719999,28.99,27.780001,27.93,7367200,27.93
2016-05-03,29.07,29.190001,28.40,28.620001,6998500,28.620001
2016-05-02,29.879999,30.110001,29.379999,29.67,9938700,29.67
2016-04-29,29.719999,30.469999,29.27,30.040001,8682300,30.040001
2016-04-28,29.309999,30.120001,29.07,29.469999,10835100,29.469999
2016-04-27,28.91,29.82,28.860001,29.639999,11076800,29.639999
2016-04-26,28.700001,28.809999,28.16,28.65,4677300,28.65
2016-04-25,29.049999,29.33,28.23,28.559999,6548600,28.559999
2016-04-22,28.66,29.77,28.57,29.309999,7764200,29.309999
2016-04-21,28.950001,29.26,28.76,28.809999,5408900,28.809999
2016-04-20,28.50,29.27,28.450001,28.959999,8248600,28.959999
2016-04-19,27.92,28.84,27.860001,28.77,9539700,28.77
2016-04-18,26.35,27.780001,26.309999,27.629999,5389200,27.629999
2016-04-15,26.959999,27.33,26.610001,27.129999,7520900,27.129999
2016-04-14,27.790001,27.790001,27.07,27.379999,7132500,27.379999
2016-04-13,27.35,27.809999,27.059999,27.59,7750400,27.59
2016-04-12,26.469999,27.41,26.190001,27.18,11172200,27.18
2016-04-11,26.49,26.68,26.23,26.27,3758800,26.27
2016-04-08,26.219999,26.66,26.09,26.26,4347300,26.26
2016-04-07,25.780001,26.049999,25.219999,25.51,4306200,25.51
2016-04-06,25.68,26.370001,25.280001,25.969999,6860400,25.969999
