Date,Numbers of Stocks
1965-03-01,561.0
1965-03-02,520.0
1965-03-03,528.0
1965-03-04,594.0
1965-03-05,646.0
1965-03-08,466.0
1965-03-09,609.0
1965-03-10,554.0
1965-03-11,452.0
1965-03-12,477.0
1965-03-15,535.0
1965-03-16,574.0
1965-03-17,599.0
1965-03-18,624.0
1965-03-19,602.0
1965-03-22,559.0
1965-03-23,537.0
1965-03-24,471.0
1965-03-25,597.0
1965-03-26,828.0
1965-03-29,737.0
1965-03-30,482.0
1965-03-31,473.0
1965-04-01,507.0
1965-04-02,421.0
1965-04-05,530.0
1965-04-06,591.0
1965-04-07,488.0
1965-04-08,353.0
1965-04-09,378.0
1965-04-12,413.0
1965-04-13,539.0
1965-04-14,497.0
1965-04-15,516.0
1965-04-19,482.0
1965-04-20,553.0
1965-04-21,670.0
1965-04-22,464.0
1965-04-23,497.0
1965-04-26,550.0
1965-04-27,514.0
1965-04-28,593.0
1965-04-29,566.0
1965-04-30,574.0
1965-05-03,619.0
1965-05-04,485.0
1965-05-05,488.0
1965-05-06,509.0
1965-05-07,585.0
1965-05-10,595.0
1965-05-11,664.0
1965-05-12,486.0
1965-05-13,474.0
1965-05-14,572.0
1965-05-17,698.0
1965-05-18,566.0
1965-05-19,486.0
1965-05-20,787.0
1965-05-21,702.0
1965-05-24,867.0
1965-05-25,446.0
1965-05-26,702.0
1965-05-27,891.0
1965-05-28,382.0
1965-06-01,798.0
1965-06-02,1000.0
1965-06-03,665.0
1965-06-04,528.0
1965-06-07,799.0
1965-06-08,938.0
1965-06-09,911.0
1965-06-10,823.0
1965-06-11,428.0
1965-06-14,1036.0
1965-06-15,559.0
1965-06-16,272.0
1965-06-17,332.0
1965-06-18,726.0
1965-06-21,744.0
1965-06-22,480.0
1965-06-23,771.0
1965-06-24,1088.0
1965-06-25,868.0
1965-06-28,1167.0
1965-06-29,563.0
1965-06-30,101.0
1965-07-01,356.0
1965-07-02,274.0
1965-07-06,540.0
1965-07-07,686.0
1965-07-08,332.0
1965-07-09,350.0
1965-07-12,517.0
1965-07-13,628.0
1965-07-14,427.0
1965-07-15,492.0
1965-07-16,542.0
1965-07-19,583.0
1965-07-20,937.0
1965-07-21,747.0
1965-07-22,570.0
1965-07-23,461.0
1965-07-26,544.0
1965-07-27,620.0
1965-07-28,503.0
1965-07-29,309.0
1965-07-30,315.0
1965-08-02,453.0
1965-08-03,506.0
1965-08-04,364.0
1965-08-05,492.0
1965-08-06,410.0
1965-08-09,541.0
1965-08-10,473.0
1965-08-11,422.0
1965-08-12,386.0
1965-08-13,419.0
1965-08-16,495.0
1965-08-17,500.0
1965-08-18,514.0
1965-08-19,689.0
1965-08-20,562.0
1965-08-23,552.0
1965-08-24,473.0
1965-08-25,539.0
1965-08-26,474.0
1965-08-27,456.0
1965-08-30,469.0
1965-08-31,520.0
1965-09-01,502.0
1965-09-02,360.0
1965-09-03,363.0
1965-09-07,481.0
1965-09-08,538.0
1965-09-09,484.0
1965-09-10,523.0
1965-09-13,486.0
1965-09-14,770.0
1965-09-15,486.0
1965-09-16,443.0
1965-09-17,606.0
1965-09-20,547.0
1965-09-21,628.0
1965-09-22,454.0
1965-09-23,779.0
1965-09-24,473.0
1965-09-27,516.0
1965-09-28,640.0
1965-09-29,748.0
1965-09-30,627.0
1965-10-01,550.0
1965-10-04,454.0
1965-10-05,409.0
1965-10-06,625.0
1965-10-07,503.0
1965-10-08,358.0
1965-10-11,418.0
1965-10-12,585.0
1965-10-13,578.0
1965-10-14,590.0
1965-10-15,491.0
1965-10-18,502.0
1965-10-19,636.0
1965-10-20,632.0
1965-10-21,531.0
1965-10-22,615.0
1965-10-25,738.0
1965-10-26,432.0
1965-10-27,476.0
1965-10-28,649.0
1965-10-29,479.0
1965-11-01,636.0
1965-11-03,567.0
1965-11-04,623.0
1965-11-05,571.0
1965-11-08,755.0
1965-11-09,616.0
1965-11-10,585.0
1965-11-11,480.0
1965-11-12,457.0
1965-11-15,513.0
1965-11-16,593.0
1965-11-17,652.0
1965-11-18,610.0
1965-11-19,541.0
1965-11-22,728.0
1965-11-23,533.0
1965-11-24,490.0
1965-11-26,465.0
1965-11-29,562.0
1965-11-30,646.0
1965-12-01,563.0
1965-12-02,672.0
1965-12-03,599.0
1965-12-06,1011.0
1965-12-07,336.0
1965-12-08,522.0
1965-12-09,537.0
1965-12-10,518.0
1965-12-13,549.0
1965-12-14,606.0
1965-12-15,577.0
1965-12-16,544.0
1965-12-17,536.0
1965-12-20,799.0
1965-12-21,530.0
1965-12-22,704.0
1965-12-23,668.0
1965-12-27,798.0
1965-12-28,686.0
1965-12-29,471.0
1965-12-30,446.0
1965-12-31,479.0
1966-01-03,547.0
1966-01-04,608.0
1966-01-05,440.0
1966-01-06,531.0
1966-01-07,540.0
1966-01-10,506.0
1966-01-11,536.0
1966-01-12,592.0
1966-01-13,487.0
1966-01-14,536.0
1966-01-17,469.0
1966-01-18,567.0
1966-01-19,706.0
1966-01-20,701.0
1966-01-21,624.0
1966-01-24,503.0
1966-01-25,535.0
1966-01-26,609.0
1966-01-27,596.0
1966-01-28,668.0
1966-01-31,739.0
1966-02-01,1022.0
1966-02-02,524.0
1966-02-03,510.0
1966-02-04,485.0
1966-02-07,470.0
1966-02-08,710.0
1966-02-09,408.0
1966-02-10,638.0
1966-02-11,553.0
1966-02-14,639.0
1966-02-15,741.0
1966-02-16,667.0
1966-02-17,786.0
1966-02-18,687.0
1966-02-21,785.0
1966-02-23,807.0
1966-02-24,747.0
1966-02-25,480.0
1966-02-28,545.0
1966-03-01,986.0
1966-03-02,986.0
1966-03-03,545.0
1966-03-04,671.0
1966-03-07,1013.0
1966-03-08,753.0
1966-03-09,307.0
1966-03-10,640.0
1966-03-11,606.0
1966-03-14,997.0
1966-03-15,1017.0
1966-03-16,445.0
1966-03-17,453.0
1966-03-18,367.0
1966-03-21,342.0
1966-03-22,466.0
1966-03-23,695.0
1966-03-24,595.0
1966-03-25,497.0
1966-03-28,517.0
1966-03-29,755.0
1966-03-30,938.0
1966-03-31,486.0
1966-04-01,410.0
1966-04-04,381.0
1966-04-05,417.0
1966-04-06,542.0
1966-04-07,481.0
1966-04-11,593.0
1966-04-12,646.0
1966-04-13,629.0
1966-04-14,580.0
1966-04-15,600.0
1966-04-18,694.0
1966-04-19,583.0
1966-04-20,469.0
1966-04-21,549.0
1966-04-22,684.0
1966-04-25,625.0
1966-04-26,646.0
1966-04-27,781.0
1966-04-28,896.0
1966-04-29,560.0
1966-05-02,669.0
1966-05-03,1014.0
1966-05-04,858.0
1966-05-05,1083.0
1966-05-06,872.0
1966-05-09,991.0
1966-05-10,410.0
1966-05-11,515.0
1966-05-12,1062.0
1966-05-13,982.0
1966-05-16,1071.0
1966-05-17,1000.0
1966-05-18,273.0
1966-05-19,607.0
1966-05-20,566.0
1966-05-23,360.0
1966-05-24,318.0
1966-05-25,477.0
1966-05-26,552.0
1966-05-27,448.0
1966-05-31,879.0
1966-06-01,645.0
1966-06-02,509.0
1966-06-03,494.0
1966-06-06,819.0
1966-06-07,832.0
