Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,50.32,50.560001,50.040001,50.549999,18501800,50.549999
2016-06-16,50.400002,50.889999,50.360001,50.779999,10027100,50.367998
2016-06-15,50.759998,50.860001,50.279999,50.459999,10891300,50.050595
2016-06-14,50.529999,50.810001,50.259998,50.779999,11606400,50.367998
2016-06-13,50.650002,50.84,50.470001,50.509998,13149700,50.100188
2016-06-10,50.650002,50.91,50.369999,50.57,12911300,50.159703
2016-06-09,50.299999,50.790001,50.23,50.700001,9702500,50.288649
2016-06-08,49.959999,50.310001,49.889999,50.27,6765100,49.862138
2016-06-07,50.049999,50.310001,49.869999,49.970001,7904000,49.564572
2016-06-06,50.099998,50.27,49.799999,50.009998,10842800,49.604245
2016-06-03,49.950001,50.349998,49.709999,50.080002,18718900,49.673681
2016-06-02,49.240002,49.299999,48.810001,49.299999,7703700,48.900006
2016-06-01,49.139999,49.34,49.040001,49.279999,11283100,48.880168
2016-05-31,48.75,49.189999,48.740002,49.150002,15586200,48.751226
2016-05-27,48.740002,48.919998,48.580002,48.830002,15105500,48.433822
2016-05-26,48.139999,48.810001,48.139999,48.75,13154500,48.35447
2016-05-25,48.080002,48.349998,47.860001,48.200001,14349900,47.808933
2016-05-24,47.939999,48.400002,47.869999,48.34,13383300,47.947796
2016-05-23,48.279999,48.400002,47.799999,47.860001,12690200,47.471691
2016-05-20,48.290001,48.349998,47.919998,48.290001,15185700,47.898203
2016-05-19,47.52,48.189999,47.25,48.18,19582800,47.789095
2016-05-18,48.330002,48.709999,47.540001,47.700001,27257600,47.312989
2016-05-17,49.290001,49.41,48.349998,48.610001,17533000,48.215606
2016-05-16,49.220001,49.459999,49.040001,49.450001,11087100,49.048791
2016-05-13,49.50,49.610001,49.150002,49.389999,12626600,48.989276
2016-05-12,49.259998,49.709999,49.080002,49.630001,17727700,49.227331
2016-05-11,49.169998,49.380001,48.900002,49.34,12173900,48.939683
2016-05-10,49.16,49.34,48.98,49.16,13257900,48.761143
2016-05-09,48.860001,49.18,48.759998,49.110001,11231800,48.711549
2016-05-06,48.91,49.080002,48.389999,48.830002,20053600,48.433822
2016-05-05,49.200001,49.75,48.970001,49.150002,15826500,48.751226
2016-05-04,48.790001,49.650002,48.639999,49.34,17603900,48.939683
2016-05-03,48.77,49.029999,48.50,48.77,15746700,48.374308
2016-05-02,48.450001,49.049999,48.389999,48.810001,16366600,48.413984
2016-04-29,47.93,48.470001,47.57,48.419998,20177200,48.027145
2016-04-28,47.779999,48.25,47.50,48.130001,20158000,47.739501
2016-04-27,47.650002,48.48,47.50,48.200001,24559200,47.808933
2016-04-26,47.470001,47.709999,47.380001,47.509998,13021500,47.124529
2016-04-25,47.150002,47.450001,47.119999,47.439999,12742900,47.055097
2016-04-22,47.060001,47.41,47.029999,47.349998,12309000,46.965827
2016-04-21,47.75,47.880001,46.73,46.93,32065700,46.549236
2016-04-20,49.200001,49.259998,47.900002,47.93,26068700,47.541123
2016-04-19,49.130001,49.23,48.84,49.16,10495400,48.761143
2016-04-18,48.860001,49.080002,48.529999,49.080002,9124000,48.681794
2016-04-15,48.720001,49.00,48.549999,48.889999,10962900,48.493333
2016-04-14,48.560001,48.790001,48.459999,48.619999,12090800,48.225523
2016-04-13,49.119999,49.119999,48.419998,48.68,13320500,48.285038
2016-04-12,48.650002,49.040001,48.57,48.98,13427200,48.582603
2016-04-11,48.849998,49.16,48.599998,48.639999,11125000,48.245361
2016-04-08,48.740002,49.169998,48.689999,48.849998,16436900,48.453657
2016-04-07,48.540001,48.91,48.459999,48.59,15280200,48.195768
2016-04-06,48.599998,48.68,48.310001,48.610001,20294500,48.215606
2016-04-05,49.490002,49.57,48.630001,48.669998,18658400,48.275117
2016-04-04,49.82,49.880001,49.349998,49.599998,15286100,49.197572
2016-04-01,49.419998,49.880001,49.259998,49.810001,17872600,49.405871
2016-03-31,49.400002,49.669998,49.220001,49.619999,14703400,49.21741
2016-03-30,49.450001,49.560001,49.150002,49.330002,14516900,48.929766
2016-03-29,48.880001,49.490002,48.689999,49.450001,17553600,49.048791
2016-03-28,48.990002,49.25,48.630001,48.73,11244600,48.334631
2016-03-24,48.759998,48.98,48.619999,48.91,15073500,48.513171
2016-03-23,48.419998,48.970001,48.200001,48.779999,15239600,48.384225
2016-03-22,48.52,48.779999,48.360001,48.419998,11457400,48.027145
2016-03-21,48.48,48.82,48.110001,48.580002,15743200,48.185851
2016-03-18,48.939999,49.09,48.610001,48.630001,16990700,48.235444
2016-03-17,48.849998,49.419998,48.669998,49.310001,17534900,48.544914
2016-03-16,48.119999,49.040001,47.799999,49.040001,27868200,48.279103
2016-03-15,48.16,48.459999,48.099998,48.299999,13737000,47.550583
2016-03-14,48.139999,48.299999,47.939999,48.209999,11724800,47.461979
2016-03-11,48.330002,48.450001,48.049999,48.150002,15695400,47.402913
2016-03-10,48.040001,48.259998,47.639999,48.099998,19471400,47.353685
2016-03-09,47.740002,48.209999,47.700001,48.060001,14256600,47.314309
2016-03-08,47.459999,47.880001,47.209999,47.84,16374800,47.097721
2016-03-07,47.029999,47.470001,46.880001,47.369999,18492800,46.635012
2016-03-04,46.290001,47.259998,46.18,47.110001,22128400,46.379048
2016-03-03,46.380001,46.59,45.759998,46.59,21274100,45.867116
2016-03-02,45.950001,46.330002,45.080002,46.310001,30224200,45.591462
2016-03-01,46.540001,46.650002,45.779999,46.07,23641700,45.355184
2016-02-29,46.099998,46.740002,46.060001,46.299999,20137800,45.581615
2016-02-26,47.209999,47.32,46.16,46.169998,32953600,45.453631
2016-02-25,47.150002,47.48,47.009998,47.48,12161900,46.743306
2016-02-24,46.779999,47.09,46.580002,47.00,16750900,46.270754
2016-02-23,46.59,46.889999,46.380001,46.779999,11788800,46.054167
2016-02-22,46.450001,46.740002,46.189999,46.740002,12436600,46.01479
2016-02-19,46.310001,46.439999,45.900002,46.200001,17020100,45.483168
2016-02-18,45.669998,46.669998,45.630001,46.509998,18884300,45.788356
2016-02-17,46.00,46.00,45.459999,45.759998,19080300,45.049992
2016-02-16,45.790001,45.950001,45.369999,45.849998,14638600,45.138596
2016-02-12,45.669998,45.93,45.189999,45.560001,21018700,44.853099
2016-02-11,46.23,46.610001,45.68,45.700001,25390000,44.990926
2016-02-10,46.459999,46.77,45.720001,46.52,25920600,45.798202
2016-02-09,46.25,46.75,46.139999,46.57,22620900,45.847426
2016-02-08,46.470001,47.00,45.98,46.41,29012400,45.689909
2016-02-05,46.150002,46.75,45.740002,46.57,27386300,45.847426
2016-02-04,46.580002,46.830002,46.299999,46.419998,27602600,45.699752
2016-02-03,46.209999,46.830002,46.200001,46.619999,32952400,45.896649
2016-02-02,45.68,46.099998,45.459999,46.049999,15970100,45.335494
2016-02-01,45.209999,46.060001,45.18,45.849998,29610900,45.138596
2016-01-29,44.82,45.459999,44.82,45.419998,17940400,44.715268
2016-01-28,43.77,44.82,43.529999,44.529999,15563900,43.839077
2016-01-27,43.650002,44.150002,43.459999,43.830002,13731900,43.149941
2016-01-26,43.529999,44.16,43.529999,43.73,11459600,43.051491
2016-01-25,43.779999,43.889999,43.27,43.43,13521400,42.756146
